side,intensity,resp
L,0.2,1
R,-0.06106635064647015,1
L,-0.225691949784243,1
L,-0.35662554078427405,1
L,-0.4653100778099268,1
R,-0.5603947745259263,1
L,-0.6429233733515467,1
L,-0.7166659775819972,1
R,-0.7871969074787746,1
L,-0.8528564508567384,1
L,-0.9122544102887169,0
R,-0.788775642480243,1
L,-0.8107912743761074,1
L,-0.8292733156186631,1
L,-0.8456510740888568,0
R,-0.796769184944673,0
R,-0.7574796135947923,0
R,-0.7225690730657686,1
L,-0.730951753099375,0
L,-0.7011416826820627,1
L,-0.7082207003702969,0
L,-0.6830180008994304,0
R,-0.6583082224889087,1
R,-0.664292009656779,1
R,-0.669573177389762,1
R,-0.6746646678407531,1
L,-0.6792556846775955,0
L,-0.6614824815368674,1
R,-0.6656960457119594,1
R,-0.6699162596985917,1
L,-0.6737627988281047,0
R,-0.6586271080020163,1
R,-0.6622130138909517,1
L,-0.6654954045700792,1
L,-0.6688427007961979,1
R,-0.6719946906692653,1
L,-0.6749057796380022,1
R,-0.6776509069803467,1
L,-0.6805171368170393,1
L,-0.68319328342005,1
R,-0.6857077261052906,1
L,-0.6883224163922181,1
R,-0.6908522893701703,1
L,-0.693227290894967,1
R,-0.695474236558014,1
R,-0.6978224662668475,1
R,-0.7001147677295116,1
L,-0.702300841202246,1
L,-0.7043683772213631,1
L,-0.7063500737006938,1
