TrialNumber,quadrant,speed,speed_px,motion_cycle,ran,order,n_cue,saccade_delay,sub,ses,run,target,trial_type,saccade_dur,target_pos_x,target_pos_y,saccade_spos_x,saccade_spos_y,saccade_epos_x,saccade_epos_y,target_pos_x_deg,target_pos_y_deg,saccade_spos_x_deg,saccade_spos_y_deg,saccade_epos_x_deg,saccade_epos_y_deg
1,1,0.24,6.56,700.0,1.0,0.0,9.0,449.0,1.0,1.0,0.0,top,catch,600.17,-165.27,275.45,-8.2,9.8,-141.5,-169.6,-6.0,10.0,-0.3,-0.36,-5.14,6.16
2,1,0.24,6.56,700.0,1.0,1.0,4.0,554.0,1.0,1.0,0.0,bot,test,600.22,-275.45,165.27,-26.4,-10.9,-212.9,-85.7,-10.0,6.0,-0.96,0.4,-7.73,3.11
3,1,0.24,6.56,700.0,1.0,2.0,8.0,589.0,1.0,1.0,0.0,bot,test,600.17,-275.45,165.27,-29.1,11.5,-215.7,-92.7,-10.0,6.0,-1.06,-0.42,-7.83,3.37
4,1,0.24,6.56,700.0,1.0,3.0,8.0,475.0,1.0,1.0,0.0,bot,test,600.18,-275.45,165.27,-7.0,10.8,-216.5,-93.3,-10.0,6.0,-0.25,-0.39,-7.86,3.39
5,1,0.24,6.56,700.0,1.0,4.0,5.0,588.0,1.0,1.0,0.0,top,test,600.15,-165.27,275.45,-3.7,16.6,-169.4,-196.8,-6.0,10.0,-0.13,-0.6,-6.15,7.14
6,2,0.24,6.56,700.0,1.0,5.0,4.0,415.0,1.0,1.0,0.0,bot,test,600.14,165.27,165.27,-23.3,6.7,123.1,-68.8,6.0,6.0,-0.85,-0.24,4.47,2.5
7,2,0.24,6.56,700.0,1.0,6.0,7.0,599.0,1.0,1.0,0.0,top,test,600.11,275.45,275.45,-24.4,21.8,129.0,-185.3,10.0,10.0,-0.89,-0.79,4.68,6.73
8,1,0.24,6.56,700.0,1.0,7.0,6.0,467.0,1.0,1.0,0.0,bot,test,600.23,-275.45,165.27,2.5,14.0,-195.6,-64.5,-10.0,6.0,0.09,-0.51,-7.1,2.34
9,1,0.24,6.56,700.0,1.0,8.0,7.0,502.0,1.0,1.0,0.0,top,test,600.11,-165.27,275.45,-7.9,15.5,-178.8,-188.2,-6.0,10.0,-0.29,-0.56,-6.49,6.83
10,2,0.24,6.56,700.0,1.0,9.0,8.0,588.0,1.0,1.0,0.0,bot,test,600.24,165.27,165.27,-23.0,18.2,91.1,-64.2,6.0,6.0,-0.83,-0.66,3.31,2.33
11,2,0.24,6.56,700.0,1.0,10.0,8.0,582.0,1.0,1.0,0.0,bot,test,600.2,165.27,165.27,-11.3,23.8,136.7,-94.0,6.0,6.0,-0.41,-0.86,4.96,3.41
12,1,0.24,6.56,700.0,1.0,11.0,9.0,581.0,1.0,1.0,0.0,top,test,600.12,-165.27,275.45,-2.7,24.2,-143.6,-162.7,-6.0,10.0,-0.1,-0.88,-5.21,5.91
13,2,0.24,6.56,700.0,1.0,12.0,6.0,509.0,1.0,1.0,0.0,bot,test,600.15,165.27,165.27,-27.4,-3.0,72.8,-107.9,6.0,6.0,-0.99,0.11,2.64,3.92
14,2,0.24,6.56,700.0,1.0,13.0,5.0,505.0,1.0,1.0,0.0,top,test,600.13,275.45,275.45,-36.2,6.0,118.5,-163.1,10.0,10.0,-1.31,-0.22,4.3,5.92
15,2,0.24,6.56,700.0,1.0,14.0,7.0,594.0,1.0,1.0,0.0,top,test,600.11,275.45,275.45,7.5,26.8,198.6,-190.3,10.0,10.0,0.27,-0.97,7.21,6.91
16,2,0.24,6.56,700.0,1.0,15.0,6.0,569.0,1.0,1.0,0.0,bot,test,600.21,165.27,165.27,-6.4,15.9,132.8,-63.9,6.0,6.0,-0.23,-0.58,4.82,2.32
17,1,0.24,6.56,700.0,1.0,16.0,9.0,519.0,1.0,1.0,0.0,top,test,600.23,-165.27,275.45,-16.7,6.2,-187.0,-214.7,-6.0,10.0,-0.61,-0.23,-6.79,7.79
18,1,0.24,6.56,700.0,1.0,17.0,7.0,565.0,1.0,1.0,0.0,top,test,600.22,-165.27,275.45,0.1,21.0,-193.0,-194.7,-6.0,10.0,0.0,-0.76,-7.01,7.07
19,1,0.24,6.56,700.0,1.0,18.0,5.0,574.0,1.0,1.0,0.0,top,test,600.26,-165.27,275.45,11.7,15.1,-146.7,-179.6,-6.0,10.0,0.42,-0.55,-5.33,6.52
20,2,0.24,6.56,700.0,1.0,19.0,8.0,421.0,1.0,1.0,0.0,bot,test,600.23,165.27,165.27,14.3,31.2,144.0,-61.2,6.0,6.0,0.52,-1.13,5.23,2.22
21,1,0.24,6.56,700.0,1.0,20.0,7.0,568.0,1.0,1.0,0.0,top,test,600.2,-165.27,275.45,41.6,34.3,-141.8,-178.5,-6.0,10.0,1.51,-1.25,-5.15,6.48
22,1,0.24,6.56,700.0,1.0,21.0,8.0,486.0,1.0,1.0,0.0,bot,test,600.16,-275.45,165.27,35.4,32.5,-165.7,-66.3,-10.0,6.0,1.29,-1.18,-6.02,2.41
23,2,0.24,6.56,700.0,1.0,22.0,8.0,586.0,1.0,1.0,0.0,bot,test,600.18,165.27,165.27,23.5,37.5,146.3,-69.1,6.0,6.0,0.85,-1.36,5.31,2.51
24,2,0.24,6.56,700.0,1.0,23.0,9.0,457.0,1.0,1.0,0.0,top,test,600.15,275.45,275.45,35.8,35.2,179.7,-163.1,10.0,10.0,1.3,-1.28,6.52,5.92
25,2,0.24,6.56,700.0,1.0,24.0,6.0,442.0,1.0,1.0,0.0,bot,test,600.15,165.27,165.27,37.4,40.3,143.5,-42.9,6.0,6.0,1.36,-1.46,5.21,1.56
26,2,0.24,6.56,700.0,1.0,25.0,7.0,423.0,1.0,1.0,0.0,top,test,600.16,275.45,275.45,34.9,31.9,172.0,-167.7,10.0,10.0,1.27,-1.16,6.24,6.09
27,2,0.24,6.56,700.0,1.0,26.0,4.0,511.0,1.0,1.0,0.0,bot,test,600.21,165.27,165.27,13.8,0.9,181.2,-98.6,6.0,6.0,0.5,-0.03,6.58,3.58
28,2,0.24,6.56,700.0,1.0,27.0,9.0,407.0,1.0,1.0,0.0,top,test,600.17,275.45,275.45,13.1,21.8,182.5,-177.0,10.0,10.0,0.48,-0.79,6.63,6.43
29,1,0.24,6.56,700.0,1.0,28.0,9.0,576.0,1.0,1.0,0.0,top,test,600.19,-165.27,275.45,18.5,25.5,-117.5,-141.9,-6.0,10.0,0.67,-0.93,-4.27,5.15
30,2,0.24,6.56,700.0,1.0,29.0,6.0,459.0,1.0,1.0,0.0,bot,test,600.15,165.27,165.27,46.2,28.1,156.7,-73.6,6.0,6.0,1.68,-1.02,5.69,2.67
31,2,0.24,6.56,700.0,1.0,30.0,8.0,567.0,1.0,1.0,0.0,bot,catch,600.2,165.27,165.27,23.2,16.3,155.8,-101.9,6.0,6.0,0.84,-0.59,5.66,3.7
32,2,0.24,6.56,700.0,1.0,31.0,8.0,412.0,1.0,1.0,0.0,bot,catch,600.12,165.27,165.27,37.1,20.3,133.2,-99.4,6.0,6.0,1.35,-0.74,4.84,3.61
33,2,0.24,6.56,700.0,1.0,32.0,7.0,479.0,1.0,1.0,0.0,top,test,600.26,275.45,275.45,0.2,11.0,162.8,-148.2,10.0,10.0,0.01,-0.4,5.91,5.38
34,2,0.24,6.56,700.0,1.0,33.0,4.0,529.0,1.0,1.0,0.0,bot,test,600.15,165.27,165.27,29.0,21.7,131.2,-95.9,6.0,6.0,1.05,-0.79,4.76,3.48
35,2,0.24,6.56,700.0,1.0,34.0,5.0,543.0,1.0,1.0,0.0,top,test,600.18,275.45,275.45,18.9,18.2,149.8,-201.8,10.0,10.0,0.69,-0.66,5.44,7.33
36,1,0.24,6.56,700.0,1.0,35.0,6.0,482.0,1.0,1.0,0.0,bot,test,600.23,-275.45,165.27,45.7,31.0,-212.1,-110.8,-10.0,6.0,1.66,-1.13,-7.7,4.02
37,1,0.24,6.56,700.0,1.0,36.0,8.0,565.0,1.0,1.0,0.0,bot,test,600.33,-275.45,165.27,25.8,22.4,-153.6,-82.6,-10.0,6.0,0.94,-0.81,-5.58,3.0
38,1,0.24,6.56,700.0,1.0,37.0,7.0,454.0,1.0,1.0,0.0,top,test,600.17,-165.27,275.45,43.2,27.5,-181.7,-167.2,-6.0,10.0,1.57,-1.0,-6.6,6.07
39,1,0.24,6.56,700.0,1.0,38.0,8.0,578.0,1.0,1.0,0.0,bot,test,600.19,-275.45,165.27,8.4,24.7,-194.7,-48.5,-10.0,6.0,0.3,-0.9,-7.07,1.76
40,1,0.24,6.56,700.0,1.0,39.0,7.0,434.0,1.0,1.0,0.0,top,test,600.19,-165.27,275.45,-0.4,25.1,-181.1,-201.0,-6.0,10.0,-0.01,-0.91,-6.57,7.3
41,1,0.24,6.56,700.0,1.0,40.0,6.0,571.0,1.0,1.0,0.0,bot,test,600.17,-275.45,165.27,16.6,13.4,-231.0,-133.3,-10.0,6.0,0.6,-0.49,-8.39,4.84
42,2,0.24,6.56,700.0,1.0,41.0,6.0,552.0,1.0,1.0,0.0,bot,test,651.01,165.27,165.27,44.1,37.2,210.2,-94.0,6.0,6.0,1.6,-1.35,7.63,3.41
43,1,0.24,6.56,700.0,1.0,42.0,7.0,459.0,1.0,1.0,0.0,top,catch,600.17,-165.27,275.45,24.9,32.5,-158.2,-171.3,-6.0,10.0,0.9,-1.18,-5.74,6.22
44,2,0.24,6.56,700.0,1.0,43.0,9.0,509.0,1.0,1.0,0.0,top,test,600.12,275.45,275.45,1.2,24.4,181.4,-192.4,10.0,10.0,0.04,-0.89,6.59,6.98
45,2,0.24,6.56,700.0,1.0,44.0,4.0,427.0,1.0,1.0,0.0,bot,test,600.11,165.27,165.27,-9.7,5.2,138.7,-118.9,6.0,6.0,-0.35,-0.19,5.04,4.32
46,2,0.24,6.56,700.0,1.0,45.0,5.0,421.0,1.0,1.0,0.0,top,test,600.22,275.45,275.45,-4.2,13.4,143.9,-169.4,10.0,10.0,-0.15,-0.49,5.22,6.15
47,2,0.24,6.56,700.0,1.0,46.0,5.0,432.0,1.0,1.0,0.0,top,test,600.19,275.45,275.45,-0.1,17.1,118.6,-170.3,10.0,10.0,-0.0,-0.62,4.31,6.18
48,1,0.24,6.56,700.0,1.0,47.0,9.0,579.0,1.0,1.0,0.0,top,test,600.13,-165.27,275.45,-7.1,-0.3,-160.6,-175.5,-6.0,10.0,-0.26,0.01,-5.83,6.37
49,2,0.24,6.56,700.0,1.0,48.0,7.0,543.0,1.0,1.0,0.0,top,test,600.22,275.45,275.45,-20.1,28.1,136.0,-163.9,10.0,10.0,-0.73,-1.02,4.94,5.95
50,2,0.24,6.56,700.0,1.0,49.0,5.0,519.0,1.0,1.0,0.0,top,test,600.2,275.45,275.45,17.1,24.5,147.1,-144.5,10.0,10.0,0.62,-0.89,5.34,5.25
51,1,0.24,6.56,700.0,1.0,50.0,7.0,577.0,1.0,1.0,0.0,top,test,600.19,-165.27,275.45,16.9,5.5,-167.1,-191.5,-6.0,10.0,0.61,-0.2,-6.07,6.95
52,1,0.24,6.56,700.0,1.0,51.0,5.0,499.0,1.0,1.0,0.0,top,test,600.21,-165.27,275.45,14.8,21.7,-144.5,-183.3,-6.0,10.0,0.54,-0.79,-5.25,6.65
53,1,0.24,6.56,700.0,1.0,52.0,8.0,525.0,1.0,1.0,0.0,bot,test,600.21,-275.45,165.27,29.5,15.0,-211.1,-86.6,-10.0,6.0,1.07,-0.54,-7.66,3.14
54,2,0.24,6.56,700.0,1.0,53.0,4.0,457.0,1.0,1.0,0.0,bot,test,600.18,165.27,165.27,26.2,28.5,149.6,-81.6,6.0,6.0,0.95,-1.03,5.43,2.96
55,2,0.24,6.56,700.0,1.0,54.0,9.0,487.0,1.0,1.0,0.0,top,catch,622.95,275.45,275.45,-0.9,-3.2,190.8,-207.3,10.0,10.0,-0.03,0.12,6.93,7.53
56,2,0.24,6.56,700.0,1.0,55.0,5.0,483.0,1.0,1.0,0.0,top,test,600.24,275.45,275.45,-36.9,-12.7,117.2,-188.2,10.0,10.0,-1.34,0.46,4.25,6.83
57,1,0.24,6.56,700.0,1.0,56.0,8.0,518.0,1.0,1.0,0.0,bot,test,606.98,-275.45,165.27,4.3,19.4,-33728.0,-33308.0,-10.0,6.0,0.16,-0.7,-1224.45,1209.2
58,2,0.24,6.56,700.0,1.0,57.0,8.0,506.0,1.0,1.0,0.0,bot,test,600.17,165.27,165.27,27.0,24.5,159.0,-79.4,6.0,6.0,0.98,-0.89,5.77,2.88
59,2,0.24,6.56,700.0,1.0,58.0,6.0,535.0,1.0,1.0,0.0,bot,test,600.13,165.27,165.27,14.8,23.6,148.4,-56.9,6.0,6.0,0.54,-0.86,5.39,2.07
60,2,0.24,6.56,700.0,1.0,59.0,4.0,581.0,1.0,1.0,0.0,bot,test,600.23,165.27,165.27,23.0,26.1,193.4,-80.9,6.0,6.0,0.83,-0.95,7.02,2.94
61,1,0.24,6.56,700.0,1.0,60.0,9.0,525.0,1.0,1.0,0.0,top,test,600.17,-165.27,275.45,-3.8,30.2,-174.1,-179.3,-6.0,10.0,-0.14,-1.1,-6.32,6.51
62,2,0.24,6.56,700.0,1.0,61.0,5.0,420.0,1.0,1.0,0.0,top,test,600.2,275.45,275.45,15.7,23.3,178.6,-157.4,10.0,10.0,0.57,-0.85,6.48,5.71
63,1,0.24,6.56,700.0,1.0,62.0,7.0,560.0,1.0,1.0,0.0,top,catch,600.19,-165.27,275.45,-12.0,20.9,-116.9,-160.2,-6.0,10.0,-0.44,-0.76,-4.24,5.82
